"","GOMFID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0005515",1.93681634715549e-25,2.2961394278198,607.658042519053,746,9869,"protein binding"
"2","GO:0019899",2.17002126383043e-25,2.57676120215275,97.4075411151223,202,1582,"enzyme binding"
"3","GO:0019900",1.27411934702381e-19,3.33233916861016,34.295828319294,94,557,"kinase binding"
"4","GO:0019901",9.07975413684473e-18,3.32721136488502,30.4783393501805,84,495,"protein kinase binding"
"5","GO:0003824",2.41121793897339e-16,1.75636687638335,314.942839951865,431,5115,"catalytic activity"
"6","GO:0004672",3.14068657678208e-16,3.00969463415618,34.7268351383875,88,564,"protein kinase activity"
"7","GO:0016773",9.54300125062641e-16,2.78125319366377,41.0687926193341,97,667,"phosphotransferase activity, alcohol group as acceptor"
"8","GO:0044877",1.45331561904922e-15,2.20960883510234,82.6301644604894,156,1342,"macromolecular complex binding"
"9","GO:0016301",1.73411332616851e-14,2.59207702569457,44.9478539911753,100,730,"kinase activity"
"10","GO:0016772",1.079969860094e-13,2.39279626254538,53.1369835539511,110,863,"transferase activity, transferring phosphorus-containing groups"
"11","GO:0032403",2.00420205614925e-13,2.36621617023483,53.6295627757722,110,871,"protein complex binding"
"12","GO:0008134",4.62164323888983e-13,2.88289254091141,29.5547533092659,73,480,"transcription factor binding"
"13","GO:0004674",2.44658335771977e-12,2.96947596795728,25.5525471319695,65,415,"protein serine/threonine kinase activity"
"14","GO:0016740",5.79176655686798e-12,1.8267736888647,124.868832731649,198,2028,"transferase activity"
"15","GO:0000166",5.53716122661127e-11,1.7572965064045,132.996389891697,204,2160,"nucleotide binding"
"16","GO:1901265",5.53716122661127e-11,1.7572965064045,132.996389891697,204,2160,"nucleoside phosphate binding"
"17","GO:0035639",5.82633340670607e-11,1.84385071503314,104.303650220618,169,1694,"purine ribonucleoside triphosphate binding"
"18","GO:0005524",7.50847310366856e-11,1.92157925050552,85.5240673886883,145,1389,"ATP binding"
"19","GO:0001882",8.44739910505258e-11,1.83025868421393,105.596670677898,170,1715,"nucleoside binding"
"20","GO:0032550",9.78719361604097e-11,1.82903663148271,104.980946650622,169,1705,"purine ribonucleoside binding"
"21","GO:0005488",9.8520009954948e-11,2.11226485766606,792.25210589651,853,12867,"binding"
"22","GO:0001883",1.12582060086517e-10,1.82503317987641,105.165663858805,169,1708,"purine nucleoside binding"
"23","GO:0032549",1.12582060086517e-10,1.82503317987641,105.165663858805,169,1708,"ribonucleoside binding"
"24","GO:0032553",2.40906265865173e-10,1.79759240506329,107.813277176093,171,1751,"ribonucleotide binding"
"25","GO:0032555",4.0396729488001e-10,1.78840683512336,106.889691135178,169,1736,"purine ribonucleotide binding"
"26","GO:0036094",4.30966011059274e-10,1.67694822713258,150.544524669073,221,2445,"small molecule binding"
"27","GO:0032559",4.65603629772574e-10,1.8622795183634,87.7406738868833,145,1425,"adenyl ribonucleotide binding"
"28","GO:0017076",6.29575265953221e-10,1.77564119861304,107.505415162455,169,1746,"purine nucleotide binding"
"29","GO:0030554",6.88164821751112e-10,1.84955197060895,88.2332531087044,145,1433,"adenyl nucleotide binding"
"30","GO:0019887",1.43707429895645e-09,4.39816709477992,8.12755716004813,29,132,"protein kinase regulator activity"
"31","GO:0043168",1.63884319992438e-09,1.64520670037927,152.761131167268,221,2481,"anion binding"
"32","GO:0019207",1.92584864498928e-09,4.07381739212539,9.23586040914561,31,150,"kinase regulator activity"
"33","GO:0097159",2.11579905915118e-09,1.50342314636883,334.338146811071,419,5430,"organic cyclic compound binding"
"34","GO:1901363",2.27997534709231e-09,1.50323880967008,329.720216606498,414,5355,"heterocyclic compound binding"
"35","GO:0042802",7.90016502815575e-09,1.88878803957677,68.4069394304051,116,1111,"identical protein binding"
"36","GO:0097367",1.02542896960605e-08,1.65235013005868,128.440032089852,189,2086,"carbohydrate derivative binding"
"37","GO:0031625",4.46738802175678e-08,3.00789320155119,14.5310870437224,38,236,"ubiquitin protein ligase binding"
"38","GO:0044389",7.05049295527073e-08,2.94747877958804,14.777376654633,38,240,"ubiquitin-like protein ligase binding"
"39","GO:0001047",1.2574041096444e-07,3.78196627160236,8.18912956277577,26,133,"core promoter binding"
"40","GO:0046983",4.18818788389842e-07,1.77864308342133,64.7741676694745,105,1052,"protein dimerization activity"
"41","GO:0005102",6.52939426619961e-07,1.67988379396985,81.5834336141195,125,1325,"receptor binding"
"42","GO:0004860",1.51144151255126e-06,5.38811027260126,3.57119935820297,15,58,"protein kinase inhibitor activity"
"43","GO:0004713",2.98766757185068e-06,3.2968893361352,8.43541917368632,24,137,"protein tyrosine kinase activity"
"44","GO:0019210",3.01152000894564e-06,5.03563201842787,3.75591656638588,15,61,"kinase inhibitor activity"
"45","GO:0030234",3.0909593270905e-06,1.78684513326289,52.3981147212194,86,851,"enzyme regulator activity"
"46","GO:0051219",5.20286092844086e-06,5.14332965821389,3.44805455274769,14,56,"phosphoprotein binding"
"47","GO:0001077",6.57783227790707e-06,2.60939110359896,13.7306458082631,32,223,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"
"48","GO:0035258",7.12923765452272e-06,4.33614422797325,4.49478539911753,16,73,"steroid hormone receptor binding"
"49","GO:0005070",1.40966953402913e-05,5.00993942731278,3.26333734456478,13,53,"SH3/SH2 adaptor activity"
"50","GO:0043566",1.54550646436127e-05,2.44686293436293,14.9620938628159,33,243,"structure-specific DNA binding"
"51","GO:0042803",2.05587142069019e-05,1.80413750636494,40.7609306056959,68,662,"protein homodimerization activity"
"52","GO:0030291",2.08957744167752e-05,7.68585526315789,1.66245487364621,9,27,"protein serine/threonine kinase inhibitor activity"
"53","GO:0031072",2.18964823877247e-05,4.13345553453169,4.37164059366225,15,71,"heat shock protein binding"
"54","GO:0044212",2.35975023674446e-05,1.73712054393341,47.2260328920979,76,767,"transcription regulatory region DNA binding"
"55","GO:0047485",2.61010308932081e-05,3.47765780730897,6.03409546730846,18,98,"protein N-terminus binding"
"56","GO:0046982",2.62533936703314e-05,2.03144556683566,25.1831127156037,47,409,"protein heterodimerization activity"
"57","GO:0000975",2.8189191889005e-05,1.72660508279767,47.4723225030084,76,771,"regulatory region DNA binding"
